City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Arraial Do Cabo,BR,75.2,scattered clouds,-22.97,-42.03,Pousada Porto Praia
12,Kutum,SD,77.77,light rain,14.2,24.67,Dibbo areaمنطقة دبو
14,Saint George,US,90.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
20,Xuanzhou,CN,82.15,overcast clouds,30.95,118.76,Nanfang Hotel
21,Cortland,US,80.01,clear sky,42.6,-76.08,Cortland Motel
22,Amahai,ID,79.0,scattered clouds,-3.33,128.92,Hotel isabella
24,Victoria,HK,82.0,moderate rain,22.29,114.16,Mini Hotel Central
45,Mandalgarh,IN,82.94,overcast clouds,25.2,75.1,दुर्गा टेंट हाऊस
47,Marsh Harbour,BS,83.91,light rain,26.54,-77.06,Abaco Beach Resort
51,Bethel,US,78.01,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
58,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
61,Atulayan,PH,78.26,overcast clouds,17.66,121.69,Grand Villa Apartelle
62,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
64,Chabahar,IR,84.2,clear sky,25.29,60.64,هتل گدروشیا
65,Port Elizabeth,ZA,78.8,clear sky,-33.92,25.57,39 On Nile Guest House
70,Del Rio,US,87.8,clear sky,29.36,-100.9,Holiday Inn Express & Suites del Rio
71,Atuona,PF,78.35,clear sky,-9.8,-139.03,Villa Enata
72,Jamestown,US,75.0,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
73,Artsyz,UA,79.23,clear sky,45.99,29.42,Хостел Миниотель
78,Sinnamary,GF,82.31,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
79,Wuxue,CN,81.09,scattered clouds,29.85,115.55,Wuxue Station Hostel
83,Terenos,BR,78.8,clear sky,-20.44,-54.86,QUINTAS IN CASA
86,Korla,CN,85.86,overcast clouds,41.76,86.15,Gulisitan Hotel
92,Ternate,ID,79.83,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
93,Hithadhoo,MV,83.5,broken clouds,-0.6,73.08,Scoop Guest House
97,Tomatlan,MX,86.68,broken clouds,19.93,-105.25,Norma franco
98,Teknaf,BD,83.73,overcast clouds,20.86,92.31,Magnum Engineering & Construction
102,Matara,LK,78.21,light rain,5.95,80.54,Amaloh Boutique Resort
109,San Patricio,MX,86.0,few clouds,19.22,-104.7,Hotel Cabo Blanco
110,Namatanai,PG,79.41,light rain,-3.67,152.43,Namatanai Hotel
113,Butaritari,KI,81.99,scattered clouds,3.07,172.79,Isles Sunset Lodge
122,Ponta Do Sol,PT,77.0,few clouds,32.67,-17.1,Hotel do Campo
125,Russell,US,87.8,clear sky,32.35,-85.2,Macs
126,Asau,RO,79.0,scattered clouds,46.43,26.4,Casa Mika Ciobanus
127,Soyo,AO,78.8,broken clouds,-6.13,12.37,Hotel Mpampa
128,Faanui,PF,78.48,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
130,Lata,PT,84.0,broken clouds,40.16,-8.33,Casa Maquia
132,Vila Franca Do Campo,PT,75.2,few clouds,37.72,-25.43,Pestana Bahia Praia
138,Padang,ID,77.58,scattered clouds,-0.95,100.35,Mercure Padang
139,Diffa,NE,89.31,broken clouds,13.32,12.61,ProDAF/Diffa
140,Takoradi,GH,78.17,broken clouds,4.88,-1.76,Raybow International Hotel
145,Denpasar,ID,77.0,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
152,Zalakomar,HU,84.0,broken clouds,46.54,17.18,Hotel Vital
156,Ulhasnagar,IN,84.2,haze,19.22,73.15,Hotel Leela Residency - 10 mins from Kalyan Station
159,Guiyang,CN,75.2,scattered clouds,26.58,106.72,Guo Tai Hotel Guiyang
160,Maceio,BR,78.8,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
164,Miami Beach,US,82.4,overcast clouds,25.79,-80.13,Fontainebleau Miami Beach
167,Lorengau,PG,81.48,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
169,Cabedelo,BR,82.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
170,Dingzhou,CN,82.4,broken clouds,38.51,115.0,宜家时尚宾馆
172,Kundla,IN,83.59,broken clouds,21.33,71.3,Rajdhani Hotel
173,Guildford,GB,75.99,light rain,51.24,-0.57,The Angel Hotel
185,Bela Vista,BR,89.1,clear sky,-22.11,-56.52,Bella Vista Palace Hotel
189,Kovacica,RS,86.0,clear sky,45.11,20.62,Resort Relax
190,Rabaul,PG,79.79,light rain,-4.2,152.17,Rabaul Hotel
197,Phibun Mangsahan,TH,80.6,light rain,15.24,105.23,ซันนี่ รีสอร์ท
202,Salinopolis,BR,84.38,clear sky,-0.61,-47.36,Hotel Salinópolis
203,Kuna,US,75.2,clear sky,43.49,-116.42,Salor bay
205,Badovinci,RS,86.0,clear sky,44.79,19.37,moja kuca
207,Colonial Heights,US,89.01,clear sky,37.27,-77.41,Hilton Garden Inn Richmond South/Southpark
208,Springville,US,80.01,clear sky,40.17,-111.61,Best Western Mountain View Inn
211,Reconquista,AR,77.88,broken clouds,-29.15,-59.65,Grand Hotel
212,Yokadouma,CM,76.89,light rain,3.52,15.05,Hôtel De Ville De Yokadouma
213,Malko Tarnovo,BG,78.8,few clouds,41.98,27.53,Villa Malko Tarnovo
215,East London,ZA,80.6,clear sky,-33.02,27.91,Tu Casa
216,Kloulklubed,PW,80.6,broken clouds,7.04,134.26,Storyboard Beach Resort
217,Acajutla,SV,82.0,scattered clouds,13.59,-89.83,Stop.
220,Caravelas,BR,76.33,few clouds,-17.71,-39.25,Pousada dos Navegantes
221,Bereda,ES,75.0,overcast clouds,43.27,-7.54,Pazo de Verdes
224,Moengo,SR,84.27,moderate rain,5.62,-54.4,Masanga
226,Broome,US,79.0,overcast clouds,42.25,-75.83,Chenango Valley State Park
232,Ribeira Grande,PT,75.2,few clouds,38.52,-28.7,Quinta da Meia Eira
234,Neiafu,TO,75.2,broken clouds,-18.65,-173.98,Mystic Sands
235,Baraolt,RO,77.0,clear sky,46.08,25.6,Castle Hotel Daniel
240,Saint-Georges,GD,86.0,scattered clouds,12.06,-61.75,Siesta Hotel
242,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
243,Saldanha,ZA,77.0,clear sky,-33.01,17.94,Blue Bay Lodge
248,Lazaro Cardenas,MX,86.0,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
250,Katsuura,JP,77.0,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
253,Nieuw Amsterdam,SR,88.0,scattered clouds,5.88,-55.08,Hotel Stardust
