City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.29,-156.79,41.0,75,90,12.75,overcast clouds
1,Bulgan,MN,48.81,103.53,53.19,84,100,3.96,overcast clouds
2,Jamestown,US,42.1,-79.24,72.0,83,90,17.22,light rain
3,Laredo,US,27.51,-99.51,96.8,37,75,4.7,broken clouds
4,Kapaa,US,22.08,-159.32,82.4,65,90,14.99,overcast clouds
5,Porto Walter,BR,-8.27,-72.74,87.19,40,0,1.07,clear sky
6,Punta Arenas,CL,-53.15,-70.92,39.2,80,24,9.17,few clouds
7,Omboue,GA,-1.57,9.26,73.27,73,70,6.49,broken clouds
8,Prince Rupert,CA,54.32,-130.32,59.0,93,90,2.24,light rain
9,Hermanus,ZA,-34.42,19.23,48.0,96,0,5.99,clear sky
10,Busselton,AU,-33.65,115.33,43.0,98,20,4.29,few clouds
11,Langa,DK,56.39,9.89,55.99,84,28,6.87,scattered clouds
12,Zhigansk,RU,66.77,123.37,56.64,62,100,13.49,overcast clouds
13,Aklavik,CA,68.22,-135.01,53.6,87,90,3.36,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,39.2,69,24,5.82,few clouds
15,Iqaluit,CA,63.75,-68.51,51.8,81,20,4.7,few clouds
16,East London,ZA,-33.02,27.91,75.27,19,0,11.74,clear sky
17,Ponta Do Sol,PT,32.67,-17.1,71.6,68,20,17.22,few clouds
18,Sarkand,KZ,45.41,79.92,68.54,37,93,4.92,overcast clouds
19,Mataura,NZ,-46.19,168.86,48.96,93,35,1.81,scattered clouds
20,Rikitea,PF,-23.12,-134.97,72.91,79,76,13.27,broken clouds
21,Lorengau,PG,-2.02,147.27,82.89,78,96,12.33,light rain
22,Cape Town,ZA,-33.93,18.42,59.0,100,75,12.75,fog
23,Port Hardy,CA,50.7,-127.42,57.2,100,90,4.7,moderate rain
24,Bredasdorp,ZA,-34.53,20.04,42.8,93,0,1.12,clear sky
25,Deder,ET,9.32,41.45,58.15,80,95,7.54,overcast clouds
26,Waverley,ZA,-25.7,28.26,57.2,42,0,4.7,clear sky
27,Toktogul,KG,41.87,72.94,64.71,55,0,1.1,clear sky
28,Qaanaaq,GL,77.48,-69.36,38.44,87,100,9.44,light rain
29,Kudahuvadhoo,MV,2.67,72.89,81.99,79,99,12.46,light rain
30,Nakamura,JP,32.98,132.93,77.22,83,84,0.81,broken clouds
31,Tasiilaq,GL,65.61,-37.64,48.2,66,9,12.75,clear sky
32,Arraial Do Cabo,BR,-22.97,-42.03,68.0,64,2,3.36,clear sky
33,Laguna,US,38.42,-121.42,96.01,29,1,8.05,clear sky
34,Khatanga,RU,71.97,102.5,63.27,71,50,5.97,scattered clouds
35,Sakaiminato,JP,35.55,133.23,78.8,94,75,4.7,broken clouds
36,Klaksvik,FO,62.23,-6.59,50.0,100,99,13.87,drizzle
37,Wuwei,CN,37.93,102.64,71.01,43,56,1.54,broken clouds
38,Ribeira Grande,PT,38.52,-28.7,72.05,82,3,11.16,clear sky
39,Ust-Tsilma,RU,65.44,52.15,53.51,92,100,2.77,overcast clouds
40,Irbeyskoye,RU,55.64,95.45,57.36,91,100,1.99,overcast clouds
41,Atuona,PF,-9.8,-139.03,78.66,78,13,17.69,few clouds
42,Port Alfred,ZA,-33.59,26.89,72.5,22,0,13.51,clear sky
43,Roura,GF,4.73,-52.33,82.4,74,34,3.36,scattered clouds
